dull/shiny,disorganized/organized,fine/coarse grain,Image,red/green,smooth/rough,chromaticity,darkness/lightness
2.55,5.2,2.65,S_Chert_04.jpg,5.05,2.9,1.6,6.2
3.7,4.5,3.0,S_Chert_05.jpg,5.35,4.7,2.9,7.85
4.5,4.1,2.75,S_Chert_06.jpg,4.28,2.85,4.4,7.7
3.25,5.6,1.95,S_Chert_07.jpg,3.37,2.6,4.9,6.7
7.6,5.25,2.0,S_Chert_08.jpg,3.3,2.2,2.7,7.45
6.7,4.25,2.35,S_Chert_09.jpg,4.81,2.45,1.2,8.35
4.85,4.35,2.5,S_Chert_10.jpg,3.98,2.4,3.5,7.1
8.25,4.25,1.6,S_Chert_11.jpg,3.51,1.65,2.8,1.7
3.85,4.3,3.4,S_Chert_12.jpg,5.4,4.25,1.8,3.4
2.45,2.2,7.95,S_Conglomerate_01.jpg,1.49,8.4,5.7,4.2
2.65,3.25,7.1,S_Conglomerate_02.jpg,5.51,6.45,1.8,6.8
2.85,4.05,7.85,S_Conglomerate_03.jpg,4.81,5.75,2.2,5.0
2.95,2.1,8.4,S_Conglomerate_04.jpg,3.28,7.9,4.1,3.1
4.6,2.1,7.95,S_Conglomerate_05.jpg,3.91,6.7,5.3,5.0
1.9,2.65,6.9,S_Conglomerate_06.jpg,2.84,7.45,4.0,4.5
1.95,2.15,8.45,S_Conglomerate_07.jpg,6.07,8.15,5.0,6.0
3.15,2.2,7.45,S_Conglomerate_08.jpg,6.35,8.15,4.1,6.05
2.35,2.4,8.0,S_Conglomerate_09.jpg,2.86,7.25,4.8,4.05
2.9,3.5,6.95,S_Conglomerate_10.jpg,6.33,5.6,4.1,5.65
2.95,2.0,8.4,S_Conglomerate_11.jpg,4.23,8.05,2.9,5.5
2.2,4.75,4.4,S_Conglomerate_12.jpg,4.3,5.95,2.0,4.05
1.7,6.3,2.5,S_Dolomite_01.jpg,6.05,3.0,1.9,7.15
3.95,4.3,5.05,S_Dolomite_02.jpg,1.3,5.9,5.7,5.0
3.85,4.5,4.05,S_Dolomite_03.jpg,4.6,4.35,1.7,5.25
2.25,5.8,3.0,S_Dolomite_04.jpg,4.56,3.7,2.6,8.0
3.05,5.2,2.8,S_Dolomite_05.jpg,4.44,2.7,3.7,7.25
4.35,5.75,2.85,S_Dolomite_06.jpg,5.16,3.5,0.6,8.8
2.35,6.0,2.9,S_Dolomite_07.jpg,6.23,3.2,1.4,4.95
1.85,4.4,3.45,S_Dolomite_08.jpg,6.81,5.0,3.4,7.3
2.45,5.0,3.9,S_Dolomite_09.jpg,7.16,4.0,3.3,7.3
1.9,4.55,3.2,S_Dolomite_10.jpg,6.26,3.4,2.1,4.7
3.25,3.65,5.35,S_Dolomite_11.jpg,5.21,5.7,0.6,6.6
2.25,5.55,2.55,S_Dolomite_12.jpg,4.88,3.3,1.4,7.85
2.3,5.2,3.2,S_Micrite_01.jpg,4.51,4.05,3.8,6.9
2.35,5.05,4.65,S_Micrite_02.jpg,4.53,6.4,1.5,7.65
3.15,3.5,4.45,S_Micrite_03.jpg,4.91,7.1,1.3,8.05
4.2,4.9,1.75,S_Micrite_04.jpg,7.05,3.1,2.8,2.1
2.1,3.1,4.85,S_Micrite_05.jpg,5.33,6.35,0.6,6.7
2.35,4.8,3.9,S_Micrite_06.jpg,5.02,4.15,1.6,7.1
2.4,5.3,4.2,S_Micrite_07.jpg,5.44,4.7,1.3,6.95
4.25,4.3,4.05,S_Micrite_08.jpg,5.14,4.8,1.5,7.0
2.55,5.3,2.45,S_Micrite_09.jpg,5.81,3.4,4.1,5.2
1.95,5.9,2.1,S_Micrite_10.jpg,5.53,2.4,1.6,6.0
2.4,5.1,2.85,S_Micrite_11.jpg,4.79,4.05,1.6,7.05
4.0,4.7,3.45,S_Micrite_12.jpg,4.81,5.0,1.5,7.15
4.85,4.65,4.55,S_Rock Gypsum_01.jpg,4.58,5.5,1.9,8.35
5.65,5.1,2.3,S_Rock Gypsum_02.jpg,5.09,2.85,0.4,8.55
6.65,6.35,3.0,S_Rock Gypsum_03.jpg,5.56,3.4,1.8,8.5
4.4,2.1,6.15,S_Rock Gypsum_04.jpg,4.84,7.55,0.8,7.65
3.25,4.5,4.75,S_Rock Gypsum_05.jpg,5.09,6.45,0.5,4.35
5.4,5.5,2.45,S_Rock Gypsum_06.jpg,5.07,2.55,0.3,8.1
4.15,5.65,3.4,S_Rock Gypsum_07.jpg,4.98,4.4,0.1,8.35
6.15,4.1,3.3,S_Rock Gypsum_08.jpg,5.02,4.4,0.6,6.55
7.25,5.2,3.15,S_Rock Gypsum_09.jpg,5.12,4.75,0.4,7.8
6.35,4.5,3.05,S_Rock Gypsum_10.jpg,4.6,4.8,1.6,8.25
6.8,5.4,2.6,S_Rock Gypsum_11.jpg,5.0,3.1,0.7,8.1
7.05,3.55,3.25,S_Rock Gypsum_12.jpg,4.6,3.9,2.4,6.25
7.0,3.95,4.6,S_Rock Salt_01.jpg,4.91,5.1,1.0,5.2
6.35,3.65,6.6,S_Rock Salt_02.jpg,5.0,7.65,0.3,3.85
