red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
4.21,3.95,5.95,1.6,4.55,M_Schist_06.jpg,6.2,6.4
7.65,3.7,5.0,3.3,4.15,M_Schist_07.jpg,6.1,6.3
5.12,3.5,4.4,1.0,5.95,M_Schist_08.jpg,5.25,5.45
5.72,4.7,3.05,0.6,3.2,M_Schist_09.jpg,5.6,6.15
5.86,4.6,4.35,1.3,4.8,M_Schist_10.jpg,5.3,5.65
5.26,4.1,4.15,2.4,4.55,M_Schist_11.jpg,5.45,5.8
4.77,3.3,4.2,2.3,4.1,M_Schist_12.jpg,6.35,5.9
8.49,6.15,2.45,3.4,4.9,M_Slate_01.jpg,3.75,4.25
5.05,5.95,6.05,0.8,6.65,M_Slate_02.jpg,1.7,2.6
5.53,5.2,2.4,0.7,5.0,M_Slate_03.jpg,3.1,3.7
5.4,5.6,2.15,0.4,4.5,M_Slate_04.jpg,2.75,3.6
1.16,6.2,2.9,5.7,5.1,M_Slate_05.jpg,2.8,3.7
4.81,5.45,2.25,1.2,3.25,M_Slate_06.jpg,2.7,4.05
6.63,5.6,2.35,4.6,4.4,M_Slate_07.jpg,2.6,3.2
2.63,6.0,1.95,5.0,3.45,M_Slate_08.jpg,2.1,2.5
5.0,4.7,2.9,1.7,5.1,M_Slate_09.jpg,3.2,4.2
5.12,5.8,2.95,0.5,5.1,M_Slate_10.jpg,3.05,4.1
5.98,5.4,3.55,1.6,6.75,M_Slate_11.jpg,2.9,2.9
4.63,6.05,1.65,0.9,4.55,M_Slate_12.jpg,2.45,2.7
5.07,4.4,6.3,1.0,2.15,S_Bituminous Coal_01.jpg,4.25,5.8
5.07,4.9,8.65,0.2,1.35,S_Bituminous Coal_02.jpg,2.1,3.25
5.02,4.65,6.15,0.3,1.3,S_Bituminous Coal_03.jpg,4.35,6.6
5.49,4.3,7.25,0.8,2.85,S_Bituminous Coal_04.jpg,3.4,4.35
5.02,4.6,4.65,1.2,1.55,S_Bituminous Coal_05.jpg,2.95,4.9
